objectid,category,ghgrp_id,landfill_name,county_state,landfill_owner_org,year_landfill_opened,landfill_closure_year,current_landfill_status,landfill_design_cap,waste_in_place_tons,waste_in_place_year,lfg_collection_system,lfg_collected_mmscfd,lfg_collected_year,latitude,longitude
1,With Project,1007341,Anchorage Regional Landfill,"Anchorage, AK","Municipality of Anchorage, AK",1987,2043,Open,27104639,9124649,2016,Yes,2.95,2013,61.293281,-149.602138
2,Other,1010389,Capitol Disposal Landfill,"Juneau, AK","Waste Management, Inc.",1965,2038,Open,2468607,834318,2016,Yes,0.14,,58.3528,-134.4947
3,Candidate,1011448,Central Landfill - MatSu Borough,"Matanuska-Susitna, AK",Matanuska-Susitna Borough,1980,2164,Open,41974220,1706487,2016,Unknown,,,61.59,-149.21
4,Candidate,1005349,Central Peninsula Landfill (CPL),"Kenai Peninsula, AK",Kenai Peninsula Borough,1969,2042,Open,2703698,1551618,2016,No,,,60.44714,-151.10369
5,Other,,Kodiak Island Borough Landfill,"Kodiak Island, AK",Kodiak Island Borough,,2014,Closed,,228688,2007,No,,,57.80874,-152.40761
6,Other,1004380,Merrill Field Landfill,"Anchorage, AK","Municipality of Anchorage, AK",1960,1987,Closed,3295353,3295353,1987,Yes,0.263,2012,61.21266,-149.84012
7,Candidate,1006806,South Cushman Landfill,"Fairbanks North Star, AK",Fairbanks North Star Borough,1963,2025,Open,10291410,4074586,2016,No,,,64.80476,-147.70085
8,Other,,Unalaska Landfill,"Aleutians West, AK",City of Unalaska,1970,2013,Closed,,,,Unknown,,,53.88463,-166.50657
9,Candidate,1001297,Arrowhead Landfill,"Perry, AL","Green Group Holdings, LLC",2007,2099,Open,56312356,4430369,2016,No,,,32.413,-87.4685
10,Other,,Athens/Limestone County SLF MSWLF,"Limestone, AL","City of Athens, AL",1972,1996,Closed,,1195575,,No,,,34.7634,-86.9399
11,Other,,Bishop Landfill Company,"Marshall, AL",Bishop Landfill Company,1968,2002,Closed,,2700000,,No,,,34.27823,-86.33707
12,Candidate,1004245,Black Warrior Solid Waste Facility,"Tuscaloosa, AL","Black Warrior Solid Waste Disposal Authority, AL",1977,2048,Open,9826872,6476170,2016,Yes,0.86,2014,33.24314,-87.66585
13,Other,,Blount County/Nectar/Hayden LF & TS,"Blount, AL","Blount County, AL",1980,1994,Closed,,,,No,,,33.8888,-86.712
14,Other,1004415,Brundidge Landfill,"Pike, AL",Transload America Inc.,,2397,Open,,,,No,,,31.7041,-85.8299
15,Other,,Calhoun County SLF,"Calhoun, AL","Calhoun County Commission, AL",1969,1993,Closed,,4350000,,No,,,33.675,-85.92
16,Candidate,1001633,Cedar Hill Landfill,"St. Clair, AL",Advanced Disposal Services,1975,2086,Open,61657070,4551132,2016,Yes,1.51,2012,33.68345,-86.25272
17,Candidate,1007813,Chastang SLF,"Mobile, AL","City of Mobile, AL",1976,2165,Open,37173934,6995859,2016,Yes,1.24,2012,31.06179,-88.02503
18,Other,,Chilton County Landfill,"Chilton, AL","Republic Services, Inc.",,,Closed,,,,No,,,32.9285,-86.7405
19,With Project,1010661,City of Decatur-Morgan County Regional MSW Landfill,"Morgan, AL","City of Decatur, AL; Morgan County, AL",1980,2053,Open,10900000,5482056,2016,Yes,1.22,,34.6175,-87.10163
20,Candidate,1010957,City of Dothan SLF MSWLF,"Houston, AL","City of Dothan, AL",1969,2030,Open,5266741,4500000,2009,No,,,31.238766,-85.356721
21,Candidate,1006186,Coffee County Sanitary Landfill,"Coffee, AL","Coffee County Commission, AL",1993,2048,Open,9300000,3330255,2016,Yes,1.52,2012,31.507053,-86.000975
23,Candidate,1007382,Cullman Environmental Waste Management Center,"Cullman, AL","Cullman Environmental, Inc.",1993,2038,Open,2937045,1612898,2016,No,,,34.02878,-86.90069
24,Candidate,1007018,Eastern Area Landfill,"Jefferson, AL","City of Birmingham, AL",1974,2026,Open,11000000,4393572,2016,No,,,33.5978,-86.6288
25,Candidate,,Florence SLF MSWLF,"Lauderdale, AL","City of Florence Public Works, AL",1988,2015,Closed,,1361816,2009,No,,,34.806005,-87.714765
26,Other,,Florence SLF MSWLF (Old),"Lauderdale, AL",Hensley-Graves Holdings LLC,1972,1988,Closed,,1461912,,Yes,,,34.803,-87.7058
27,Other,1005839,Huntsville MSWLF,"Madison, AL",City of Huntsville S.W. Disposal Authority,1946,2060,Open,,10872110,2016,No,,,34.6885,-86.592
28,Other,,Irvington SLF,"Mobile, AL",Mobile County Commission,1974,1981,Closed,,967998,,Yes,,,30.490688,-88.210629
29,Candidate,1004014,Jefferson County LF No. 1,"Jefferson, AL","Jefferson County, AL",1969,2064,Open,18952917,4053637,2016,No,,,33.711,-86.873
30,Other,1005680,Jefferson County LF No. 2,"Jefferson, AL","Jefferson County, AL",1982,2096,Open,3483997,,,No,,,33.7077,-86.7104
31,Candidate,1007875,Magnolia Subtitle D MSW LF,"Baldwin, AL","Baldwin County, AL",1997,2036,Open,6408237,3444465,2016,Yes,0.599,2012,30.45727,-87.7761
32,Other,,Monroe County SLF,"Monroe, AL","Monroe County Commission, AL",1982,1998,Closed,,1205385,1998,No,,,31.59573,-87.33187
33,Candidate,1002464,Morris Farm Landfill,"Lawrence, AL","Republic Services, Inc.",1997,2068,Open,16643163,5484285,2016,Yes,0.38,2012,34.70381,-87.22116
34,Candidate,1006028,New Georgia MSWLF,"Jefferson, AL","City of Birmingham, AL",1970,2030,Open,9644756,,,Yes,1.3,,33.585,-86.815
35,Other,1006957,North Montgomery SLF MSWLF,"Montgomery, AL","City of Montgomery, AL",1969,2040,Open,,10446686,2016,Yes,1.31135,,32.4131,-86.3245
36,Candidate,1002646,Pine View SLF MSWLF,"Walker, AL","Republic Services, Inc.",1993,2024,Open,20503116,9766995,2016,Yes,2.04,2012,33.71458,-87.04981
37,Candidate,1003265,Salem Landfill,"Lee, AL","Waste Management, Inc.",1985,2109,Open,34909145,11341996,2016,Yes,1.98,2012,32.65347,-85.2636
38,With Project,1006304,Sand Valley Landfill,"DeKalb, AL","Republic Services, Inc.",1997,2066,Open,28041435,7914902,2016,Yes,2.12,2012,34.342,-85.862
40,With Project,1004860,Scottsboro Landfill,"Jackson, AL","City of Scottsboro, AL",1970,2019,Open,,933131,2016,Yes,0.179,2012,34.756,-85.919
41,Other,,Shannon SLF,"Jefferson, AL","Jefferson County, AL",1972,1993,Closed,,9324502,,No,,,33.42488,-86.85479
42,Candidate,1007082,Shelby County Highway 70 Landfill,"Shelby, AL","Shelby County, AL",1997,2050,Open,4520250,2756575,2016,No,,,33.171785,-86.687566
43,Candidate,,Shoals Solid Waste Disposal Authority (SSWDA) LF,"Colbert, AL","Shoals Solid Waste Disposal Authority, AL",1967,2020,Open,5300000,3200000,2009,Yes,,,34.694,-87.6609
44,With Project,1006790,Star Ridge Landfill,"St. Clair, AL",Advanced Disposal Services,1983,2078,Open,39537375,4822600,2009,Yes,1.1,2012,33.60527,-86.51658
45,Candidate,1006183,"Stones Throw Landfill, LLC","Tallapoosa, AL",Advanced Disposal Services,1982,2058,Open,26921459,5008916,2016,Yes,1.02,2012,32.5154,-85.8311
46,Candidate,1007796,Three Corners Landfill,"Cherokee, AL","Alabama Waste Disposal Solutions, LLC",1998,2142,Open,39848970,4283960,2016,Yes,1.11,2012,33.9962,-85.7254
47,Candidate,1007274,Timberlands Landfill,"Escambia, AL",Escambia County Environmental Corp.,1993,2049,Open,22340335,13214386,2016,Yes,2.68,2012,31.2593,-87.1923
48,Candidate,1011271,Turkey Trot Landfill,"Washington, AL",Advanced Disposal Services,2010,2113,Open,23280092,1286882,2016,Unknown,,,31.15848,-88.19
50,Other,,Walker County Landfill (Carbon Hill),"Walker, AL","Walker County, AL",,,Closed,,,,No,,,33.875,-87.2465
51,Other,,Willow Ridge Landfill,"Winston, AL",Haleyville Solid Waste Disposal Authority,1983,2050,Open,,,,No,,,34.17569,-87.60779
52,Other,,Ashley County Landfill,"Ashley, AR","Ashley County, AR",,,Open,,,,Unknown,,,33.212,-91.84759
53,Candidate,1005318,City of Conway Landfill,"Faulkner, AR","City of Conway, AR",1991,2060,Open,5038771,2958701,2016,No,,,35.1119,-92.5068
54,Other,,City of Helena - West Helena Regional LF,"Phillips, AR","City of Helena - West Helena, AR",,,Open,,,,Unknown,,,34.56726,-90.629
55,Other,,City of Hope Landfill,"Hempstead, AR","City of Hope, AR",,,Open,1110000,,,Unknown,,,33.6422,-93.6781
56,Other,1011631,City of Morrilton Landfill,"Conway, AR","City of Morrilton, AR",1994,2050,Open,1367651,684745,2016,Unknown,,,35.1297,-92.6976
57,Candidate,1005397,Craighead County Solid Waste Disposal Authority LF,"Craighead, AR",Craighead County Solid Waste Disposal Authority,1991,2030,Open,4357433,2074008,2016,No,,,35.719434,-90.68862
58,Candidate,1002732,Crittenden County Sanitary Landfill,"Crittenden, AR","Crittenden County, AR",1989,2021,Open,2795731,1954878,2016,No,,,35.13597,-90.25606
59,With Project,1003406,Eco-Vista Landfill,"Washington, AR","Waste Management, Inc.",1980,2024,Open,14781980,7847922,2016,Yes,1.74,2012,36.140147,-94.256073
60,Other,,EMS Class 1 Landfill,"Arkansas, AR",Eaton-Moery Environmental Services,,,Open,,,,Unknown,,,34.311,-91.272
61,With Project,1006026,Fort Smith SLF,"Sebastian, AR","City of Fort Smith Department of Sanitation, AR",1981,2061,Open,52233137,9299547,2016,Yes,3.312,,35.2926,-94.3704
62,Candidate,1002222,IESI Cherokee Village Landfill,"Fulton, AR",Progressive Waste Solutions Ltd.,1975,2059,Open,8178940,2216086,2016,No,,,36.28126,-91.63128
63,Other,,Jackson County Landfill,"Jackson, AR","Jackson County, AR",,,Open,841045,,,Unknown,,,35.5894,-91.0922
64,Candidate,1003615,Jefferson County Landfill,"Jefferson, AR",,1992,2036,Open,5845066,3271178,2016,Yes,0.423,2012,34.34676,-92.19214
65,With Project,1004543,Little Rock City SW Landfill,"Pulaski, AR","City of Little Rock, AR",1976,2073,Open,7751457,3235925,2016,Yes,0.576,,34.65129,-92.30241
66,Candidate,1004480,Mississippi County LF,"Mississippi, AR","Mississippi County, AR",1980,2018,Open,2354940,2171309,2016,No,,,35.78,-89.97
67,Candidate,1005898,Modelfill Landfill,"Pulaski, AR","Republic Services, Inc.",1980,2012,Closed,5657857,5597448,2011,Yes,1.9,2012,34.7124,-92.3318
68,Other,1006470,NABORS Landfill,"Baxter, AR",Northwest AR RSWMD,,2015,Closed,1672800,,,No,,,36.4639,-92.45196
69,Candidate,1005319,Northeast AR RSWMD Landfill Phases 2 & 3,"Greene, AR",Northeast AR RSWMD,1979,2034,Open,6500000,2535499,2016,No,,,36.085,-90.4539
70,Candidate,1007681,Ozark Ridge Landfill,"Yell, AR","Waste Management, Inc.",1986,2051,Open,6189391,2850887,2016,Yes,0.408,2012,35.09,-93.2079
71,Candidate,1004544,"Rolling Meadows Landfill, Inc.","Prairie, AR",WCA Waste Corporation,1991,2096,Open,24488382,3460339,2016,No,,,34.8476,-91.59002
72,Candidate,1006513,Saline County RWMD LF,"Saline, AR","Republic Services, Inc.",1992,2041,Open,8075586,3727162,2016,No,,,34.5606,-92.4818
73,With Project,1007896,Two Pine Landfill,"Pulaski, AR","Waste Management, Inc.",1981,2056,Open,32562361,12292411,2016,Yes,2.57,2014,34.8371,-92.1497
74,Candidate,1004479,Union County Recycling & Disposal Facility,"Union, AR",WCA Waste Corporation,1988,2050,Open,4673898,2927533,2016,Yes,0.792,2014,33.32,-92.6855
75,Candidate,1005440,Upper Southwest RSWMD,"Howard, AR",Upper SW Arkansas RSWMD,1994,2022,Open,1678556,1556126,2016,No,,,34.075,-93.868
76,Other,1006280,27th Avenue Landfill,"Maricopa, AZ","City of Phoenix, AZ",1978,1995,Closed,,10900000,,Yes,1,2015,33.42,-112.1168
77,Candidate,1004003,Apache Junction LF,"Pinal, AZ","Republic Services, Inc.",1972,2031,Open,11001883,8416462,2016,Yes,0.504,2012,33.37893,-111.52877
78,Candidate,1007815,Butterfield Station Landfill,"Maricopa, AZ","Waste Management, Inc.",1990,2052,Open,125170075,35339961,2016,Yes,0.407,2012,33.08,-112.2757
