artist_name,artist_url,date,difficulty,duration,id,marketing_type,part,preset_id,rating,recording,song_name,status,tab_access_type,tab_url,tonality_name,tp_version,tracks,tuning,type,type_name,verified,version,version_description,votes
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1304294401,,,1052251,,album,0.0,4.29614,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Danger Days The True Lives Of The Fabulous Killjoys,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/danger_days_the_true_lives_of_the_fabulous_killjoys_tabs_1052251,,0.0,,Standard,Tabs,Tab,0.0,1.0,,22
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1130716801,,,267690,,album,0.0,4.50876,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",I Brought You My Bullets You Brought Me Your Love,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/i_brought_you_my_bullets_you_brought_me_your_love_tabs_267690,,0.0,,Standard,Tabs,Tab,0.0,1.0,,43
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1172534401,,,479310,,album,0.0,4.1755,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",I Brought You My Bullets You Brought Me Your Love,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/i_brought_you_my_bullets_you_brought_me_your_love_tabs_479310,,0.0,,Standard,Tabs,Tab,0.0,2.0,,5
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1180656001,,,526346,,album,0.0,3.48629,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",I Brought You My Bullets You Brought Me Your Love,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/i_brought_you_my_bullets_you_brought_me_your_love_bass_526346,,0.0,,Standard,Bass Tabs,Bass,0.0,1.0,,4
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1236816001,,,801023,,album,0.0,4.44042,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",I Brought You My Bullets You Brought Me Your Love,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/i_brought_you_my_bullets_you_brought_me_your_love_bass_801023,,0.0,,Standard,Bass Tabs,Bass,0.0,2.0,,7
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1444683893,,,1773593,,album,0.0,4.78111,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",The Black Parade,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/the_black_parade_chords_1773593,,0.0,,Standard,Chords,Chords,0.0,1.0,,18
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1163462401,,,434688,,album,0.0,4.73894,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",The Black Parade,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/the_black_parade_tabs_434688,,0.0,,Standard,Tabs,Tab,0.0,1.0,,164
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1207267201,intermediate,,660731,,album,0.0,4.8005,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",The Black Parade,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/the_black_parade_tabs_660731,,0.0,,Standard,Tabs,Tab,0.0,2.0,,5
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1177718401,intermediate,,509713,,album,0.0,4.83045,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",The Black Parade,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/the_black_parade_bass_509713,,0.0,,Standard,Bass Tabs,Bass,0.0,1.0,,30
My Chemical Romance,,1222300801,,17:19,735327,TabPro,,,4.71153,,The Black Parade Part 1,,,https://www.ultimate-guitar.com/pro/?utm_source=UltimateGuitar&utm_medium=Artists&utm_campaign=UG+Artists&artist=My%20Chemical%20Romance&song=The%20Black%20Parade%20Part%201,,,"Alto Sax, Overdriven Guitar (x3), Acoustic Grand Piano, Electric Bass (pick), Drums",,,,,,,6
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1222300801,,,735327,,album,0.0,4.71153,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",The Black Parade Part 1,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/the_black_parade_part_1_guitar_pro_735327,,1.0,,Standard,Pro,Guitar Pro,0.0,1.0,,6
My Chemical Romance,,1222300801,,30:57,735329,TabPro,,,4.40065,,The Black Parade Part 2,,,https://www.ultimate-guitar.com/pro/?utm_source=UltimateGuitar&utm_medium=Artists&utm_campaign=UG+Artists&artist=My%20Chemical%20Romance&song=The%20Black%20Parade%20Part%202,,,"Alto Sax, Overdriven Guitar (x2), Acoustic Grand Piano, Electric Bass (pick), Drums",,,,,,,3
My Chemical Romance,https://www.ultimate-guitar.com/artist/my_chemical_romance_7804,1222300801,,,735329,,album,0.0,4.40065,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",The Black Parade Part 2,approved,public,https://tabs.ultimate-guitar.com/tab/my_chemical_romance/the_black_parade_part_2_guitar_pro_735329,,1.0,,Standard,Pro,Guitar Pro,0.0,1.0,,3
My Chemical Romance,,1276819201,,13:10,959665,TabPro,,,4.48629,,Three Cheers For Sweet Revenge,,,https://www.ultimate-guitar.com/pro/?utm_source=UltimateGuitar&utm_medium=Artists&utm_campaign=UG+Artists&artist=My%20Chemical%20Romance&song=Three%20Cheers%20For%20Sweet%20Revenge,,,"Distortion Guitar, Overdriven Guitar, Acoustic Guitar (steel) (x2), Electric Bass (finger), Drums",,,,,,,4
