artist_name,artist_url,date,difficulty,duration,id,marketing_type,part,preset_id,rating,recording,song_name,status,tab_access_type,tab_url,tonality_name,tp_version,tracks,tuning,type,type_name,verified,version,version_description,votes
Red Hot Chili Peppers,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,1117497600,,,187973,,album,5098.0,3.97163,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Blood Sugar Sex Magik,approved,public,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/blood_sugar_sex_magik_tabs_187973,,0.0,,Standard,Tabs,Tab,0.0,1.0,,18
Red Hot Chili Peppers,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,1126051200,,,210492,,album,5098.0,4.52599,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Blood Sugar Sex Magik,approved,public,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/blood_sugar_sex_magik_bass_210492,,0.0,,Standard,Bass Tabs,Bass,0.0,1.0,,51
Red Hot Chili Peppers,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,1104537600,,,202745,,album,278.0,4.01123,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",By The Way,approved,public,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/by_the_way_tabs_202745,,0.0,,Standard,Tabs,Tab,0.0,1.0,,33
Red Hot Chili Peppers,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,1162339201,intermediate,,429614,,album,278.0,4.68498,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",By The Way,approved,public,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/by_the_way_bass_429614,,0.0,,Standard,Bass Tabs,Bass,0.0,1.0,,110
Red Hot Chili Peppers,,1481987291,,5:32,1911373,official,,,4.75177,,Californication,,,https://www.ultimate-guitar.com/pro/?utm_source=UltimateGuitar&utm_medium=Artists&utm_campaign=UG+Artists&utm_content=Official+Version&artist=Red%20Hot%20Chili%20Peppers&song=Californication,,,"Lead 6 (voice), Choir Aahs, Electric Guitar (clean), Overdriven Guitar, Electric Bass (finger), Pad 2 (warm), Drums, Acoustic Guitar (steel) (x2)",,,,,,,84
Red Hot Chili Peppers,,1168214401,,54:32,456395,TabPro,,,4.28365,,Californication,,,https://www.ultimate-guitar.com/pro/?utm_source=UltimateGuitar&utm_medium=Artists&utm_campaign=UG+Artists&artist=Red%20Hot%20Chili%20Peppers&song=Californication,,,Electric Bass (finger),,,,,,,9
Red Hot Chili Peppers,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,1104537600,,,202767,,album,10261.0,4.00966,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Californication,approved,public,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/californication_tabs_202767,,0.0,,Standard,Tabs,Tab,0.0,1.0,,39
Red Hot Chili Peppers,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,1407548497,intermediate,,1508860,,album,10261.0,4.85491,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Californication,approved,public,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/californication_tabs_1508860,,0.0,,Standard,Tabs,Tab,0.0,2.0,,8
Red Hot Chili Peppers,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,1168214401,,,456395,,album,10261.0,4.28365,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Californication,approved,public,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/californication_guitar_pro_456395,,1.0,,Standard,Pro,Guitar Pro,0.0,1.0,,9
Red Hot Chili Peppers,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,1171584001,,,474411,,album,10261.0,4.03673,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Californication,approved,public,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/californication_guitar_pro_474411,,2.0,,Standard,Pro,Guitar Pro,0.0,2.0,,8
