artist_name,artist_url,date,id,part,preset_id,rating,recording,song_name,status,tab_access_type,tab_url,tonality_name,tp_version,type,type_name,verified,version,version_description,votes,hits,datetime
Jeff Buckley,https://www.ultimate-guitar.com/artist/jeff_buckley_9898,1121385600,198052,,125,4.87365,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Hallelujah,approved,public,https://tabs.ultimate-guitar.com/tab/jeff_buckley/hallelujah_chords_198052,Db,0,Chords,Chords,0,2,,23400,24166355,2005-07-14
Ed Sheeran,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,1488453515,1956589,,18913,4.8717,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Perfect,approved,public,https://tabs.ultimate-guitar.com/tab/ed_sheeran/perfect_chords_1956589,Ab,0,Chords,Chords,0,1,,11895,12789550,2017-03-02
John Legend,https://www.ultimate-guitar.com/artist/john_legend_11714,1369872001,1248578,,14737,4.831,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",All Of Me,approved,public,https://tabs.ultimate-guitar.com/tab/john_legend/all_of_me_chords_1248578,Em,0,Chords,Chords,0,1,,10868,20392289,2013-05-29
Imagine Dragons,https://www.ultimate-guitar.com/artist/imagine_dragons_36784,1343779201,1171909,,2616,4.87188,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Radioactive,approved,public,https://tabs.ultimate-guitar.com/tab/imagine_dragons/radioactive_chords_1171909,Am,0,Chords,Chords,0,1,,10212,8156384,2012-07-31
Led Zeppelin,https://www.ultimate-guitar.com/artist/led_zeppelin_1036,1004486400,9488,,10935,4.89227,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Stairway To Heaven,approved,public,https://tabs.ultimate-guitar.com/tab/led_zeppelin/stairway_to_heaven_tabs_9488,Am,0,Tabs,Tab,0,1,,9829,17892840,2001-10-30
Passenger,https://www.ultimate-guitar.com/artist/passenger_21762,1331596801,1137467,,2333,4.83918,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Let Her Go,approved,public,https://tabs.ultimate-guitar.com/tab/passenger/let_her_go_chords_1137467,Am,0,Chords,Chords,0,1,,9189,18844344,2012-03-12
Vance Joy,https://www.ultimate-guitar.com/artist/vance_joy_37940,1365552001,1237247,,10737,4.88146,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Riptide,approved,public,https://tabs.ultimate-guitar.com/tab/vance_joy/riptide_chords_1237247,Am,0,Chords,Chords,0,2,,8848,10063666,2013-04-09
Elvis Presley,https://www.ultimate-guitar.com/artist/elvis_presley_11125,1314230401,1086983,,2368,4.87036,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Cant Help Falling In Love,approved,public,https://tabs.ultimate-guitar.com/tab/elvis_presley/cant_help_falling_in_love_chords_1086983,C,0,Chords,Chords,0,1,,8370,9028855,2011-08-24
Pink Floyd,https://www.ultimate-guitar.com/artist/pink_floyd_684,1043798400,44555,,776,4.81367,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Wish You Were Here,approved,public,https://tabs.ultimate-guitar.com/tab/pink_floyd/wish_you_were_here_chords_44555,Em,0,Chords,Chords,0,1,,8012,10863212,2003-01-28
Ed Sheeran,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,1402833937,1493446,,2217,4.85315,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Photograph,approved,public,https://tabs.ultimate-guitar.com/tab/ed_sheeran/photograph_chords_1493446,D,0,Chords,Chords,0,1,,7930,10423439,2014-06-15
